data,postivi test 
29/12/2020,154
02/01/2021,154
07/01/2021,157
11/01/2021,164
13/01/2021,178
17/01/2021,195
19/01/2021,195
23/01/2021,173
02/02/2021,146
08/02/2021,136
09/02/2021,262
15/02/2021,200
20/02/2021,195
28/02/2021,91
02/03/2021,96
07/03/2021,103
10/03/2021,148
17/03/2021,175
21/03/2021,182
23/03/2021,220
01/04/2021,284
08/04/2021,332
18/04/2021,241
26/04/2021,257
05/05/2021,160
16/05/2021,50
15/09/2021,19
15/10/2021,9
25/10/2021,14
1/11/2021,24
6/11/2021,30
17/11/2021,50
15/12/2021,41
21/12/2021,98
27/12/2021,248
06/01/2022,1211
20/01/2022,972
26/01/2022,838
